ders	ünite_adı	konu_adı	kart_ön	kart_arka
Tarih	Büyük Millet Meclisi'nin Açılması ve Sevr	BMM'nin Açılması ve İsyanlar	BMM açılış tarihi?	23 Nisan 1920
Tarih	Büyük Millet Meclisi'nin Açılması ve Sevr	BMM'nin Açılması ve İsyanlar	BMM yönetim ilkesi?	Güçler birliği
Tarih	Büyük Millet Meclisi'nin Açılması ve Sevr	Sevr Antlaşması	Sevr imza tarihi?	10 Ağustos 1920
Tarih	Büyük Millet Meclisi'nin Açılması ve Sevr	Sevr Antlaşması	Sevr'in yürürlüğe girmesi için eksik kalan onay?	Mebusan Meclisi
Tarih	Doğu, Güney ve Batı Cepheleri	Doğu ve Güney Cepheleri	Doğu Cephesi komutanı?	Kazım Karabekir
Tarih	Doğu, Güney ve Batı Cepheleri	Doğu ve Güney Cepheleri	BMM'nin ilk siyasi antlaşması?	Gümrü Antlaşması
Tarih	Doğu, Güney ve Batı Cepheleri	Batı Cephesi I. ve II. İnönü Muharebeleri	Düzenli ordunun ilk zaferi?	I. İnönü
Tarih	Doğu, Güney ve Batı Cepheleri	Batı Cephesi I. ve II. İnönü Muharebeleri	I. İnönü sonrası konferans?	Londra Konferansı
Tarih	Doğu, Güney ve Batı Cepheleri	Kütahya-Eskişehir ve Sakarya Savaşları	Başkomutan seçilen kişi?	Mustafa Kemal
Tarih	Doğu, Güney ve Batı Cepheleri	Kütahya-Eskişehir ve Sakarya Savaşları	Millî yükümlülük emirleri?	Tekâlif-i Millîye
Tarih	Millî Mücadele'nin Sona Ermesi	Büyük Taarruz ve Mudanya	Büyük Taarruz başlangıcı?	26 Ağustos 1922
Tarih	Millî Mücadele'nin Sona Ermesi	Büyük Taarruz ve Mudanya	Kesin zafer tarihi?	30 Ağustos 1922
Tarih	Millî Mücadele'nin Sona Ermesi	Lozan Barış Antlaşması	Lozan imza tarihi?	24 Temmuz 1923
Tarih	Millî Mücadele'nin Sona Ermesi	Lozan Barış Antlaşması	Lozan'da çözülemeyen sorun?	Musul
Tarih	Atatürk İlkeleri-Siyasi ve Hukuki Gelişmeler	Siyasi Alanda İnkılaplar	Saltanatın kaldırılış tarihi?	1 Kasım 1922
Tarih	Atatürk İlkeleri-Siyasi ve Hukuki Gelişmeler	Siyasi Alanda İnkılaplar	Cumhuriyetin ilan tarihi?	29 Ekim 1923
Tarih	Atatürk İlkeleri-Siyasi ve Hukuki Gelişmeler	Hukuk Alanı ve Medeni Kanun	Medeni Kanun'un örnek ülkesi?	İsviçre
Tarih	Atatürk İlkeleri-Siyasi ve Hukuki Gelişmeler	Hukuk Alanı ve Medeni Kanun	Kaldırılan eski hukuk kitabı?	Mecelle
Tarih	Atatürk Dönemi'nde Yapılan İnkılaplar	Eğitim, Kültür ve Toplumsal İnkılaplar	Eğitim birliği kanunu?	Tevhid-i Tedrisat
Tarih	Atatürk Dönemi'nde Yapılan İnkılaplar	Eğitim, Kültür ve Toplumsal İnkılaplar	Yeni Türk alfabesi?	Latin alfabesi
Tarih	Atatürk Dönemi'nde Yapılan İnkılaplar	Ekonomi Alanındaki Gelişmeler	Millî ekonomi kongresi?	İzmir İktisat Kongresi
Tarih	Atatürk Dönemi'nde Yapılan İnkılaplar	Ekonomi Alanındaki Gelişmeler	Kaldırılan tarım vergisi?	Aşar
