ders	ünite_adı	konu_adı	soru_metni	a	b	c	d	e	dogru	açıklama	zorluk
Tarih	Türklerin Anadolu'ya Yerleşme Süreci	Oğuz Göçlerinin Nedenleri	Aşağıdakilerden hangisi Oğuzların Anadolu'ya yönelmesinde etkili olan nedenlerden biri değildir?	Verimli toprakların bulunması	Uygun iklim koşulları	Bizans'ın zayıflaması	Gaza ve cihat anlayışı	Sanayi İnkılabı'nın yaşanması	e	Sanayi İnkılabı çok daha sonraki bir dönemde gerçekleşmiştir; Oğuz göçlerinin nedeni değildir.	kolay
Tarih	Türklerin Anadolu'ya Yerleşme Süreci	Oğuz Göçlerinin Nedenleri	Oğuz göçlerinin Anadolu'nun tarihî yapısına en önemli etkisi aşağıdakilerden hangisidir?	Anadolu'da Roma kültürünün güçlenmesi	Anadolu'nun Türkleşme ve İslamlaşma sürecinin hızlanması	Haçlı devletlerinin kurulması	Bizans'ın Balkanlara yerleşmesi	Moğol istilalarının sona ermesi	b	Oğuz göçleriyle Anadolu'da Türk nüfusu arttı; bölgenin Türkleşme ve İslamlaşma süreci hızlandı.	orta
Tarih	Anadolu'nun İlk Siyasi Teşekkülleri	Anadolu'da Kurulan İlk Türk Beylikleri	Malazgirt Zaferi'nden sonra Anadolu'da kurulan ilk Türk beyliği aşağıdakilerden hangisidir?	Danişmentliler	Saltuklular	Artuklular	Mengücekliler	Çaka Beyliği	b	Saltuklular, Malazgirt Zaferi'nden sonra Anadolu'da kurulan ilk Türk beyliği olarak kabul edilir.	kolay
Tarih	Anadolu'nun İlk Siyasi Teşekkülleri	Anadolu'da Kurulan İlk Türk Beylikleri	İlk Türk denizcisidir ve İzmir merkezli bir beylik kurarak ilk Türk donanmasını oluşturmuştur. Bu kişi aşağıdakilerden hangisidir?	Emir Danişment	İzzettin Keykavus	Çaka Bey	Saltuk Bey	Artuk Bey	c	Çaka Bey, İzmir çevresinde ilk Türk denizciliğini başlatmış ve ilk Türk donanmasını kurmuştur.	orta
Tarih	Anadolu'nun İlk Siyasi Teşekkülleri	Türkiye Selçuklu Devleti ve Miryokefalon	Türkiye Selçuklu Devleti'nin kurucusu aşağıdakilerden hangisidir?	Kutalmışoğlu Süleyman Şah	I. Kılıç Arslan	II. Kılıç Arslan	Alparslan	Melikşah	a	Türkiye Selçuklu Devleti, Kutalmışoğlu Süleyman Şah tarafından İznik merkezli olarak kurulmuştur.	kolay
Tarih	Anadolu'nun İlk Siyasi Teşekkülleri	Türkiye Selçuklu Devleti ve Miryokefalon	1176 Miryokefalon Savaşı'nın Türk tarihi açısından en önemli sonucu aşağıdakilerden hangisidir?	Haçlı Seferlerinin başlaması	Anadolu'nun kesin Türk yurdu olduğunun anlaşılması	İstanbul'un fethedilmesi	Bizans'ın tamamen yıkılması	Moğol istilasının sona ermesi	b	Miryokefalon Savaşı'ndan sonra Bizans'ın Anadolu'yu geri alma ümidi büyük ölçüde sona ermiştir.	orta
Tarih	Hilal ve Haç Mücadelesi	Haçlı Seferleri ve Nedenleri	Haçlı Seferlerinin düzenlenmesinde aşağıdakilerden hangisinin etkili olduğu söylenemez?	Kudüs ve çevresindeki kutsal yerleri ele geçirme isteği	Ticaret yollarına hâkim olma düşüncesi	Doğu'nun zenginliklerine ulaşma arzusu	Avrupa'da topraksız şövalyelere yeni toprak bulma isteği	Osmanlı Devleti'ni Balkanlardan çıkarma düşüncesi	e	Haçlı Seferleri Osmanlı Devleti kurulmadan önce başlamıştır. Bu nedenle Osmanlı'yı Balkanlardan çıkarma düşüncesi seferlerin nedeni değildir.	orta
Tarih	Hilal ve Haç Mücadelesi	Haçlı Seferleri ve Nedenleri	I. Haçlı Seferi sonunda aşağıdaki devletlerden hangisi kurulmamıştır?	Urfa Kontluğu	Antakya Prensliği	Kudüs Krallığı	Trablus Kontluğu	Latin İmparatorluğu	e	Latin İmparatorluğu IV. Haçlı Seferi sonrasında İstanbul'da kurulmuştur.	orta
Tarih	Hilal ve Haç Mücadelesi	Sonraki Seferler ve Genel Sonuçlar	1187 Hıttin Savaşı'nın ardından Kudüs'ü Haçlılardan geri alan hükümdar aşağıdakilerden hangisidir?	Nurettin Mahmut Zengi	Selahaddin Eyyubi	Kılıç Arslan	Alparslan	Baybars	b	Hıttin Savaşı'nda Haçlıları yenen Selahaddin Eyyubi, Kudüs'ü geri almıştır.	kolay
Tarih	Hilal ve Haç Mücadelesi	Sonraki Seferler ve Genel Sonuçlar	IV. Haçlı Seferi'nin diğer Haçlı Seferlerinden farklı olarak en önemli sonucu aşağıdakilerden hangisidir?	Kudüs'ün Müslümanlardan alınması	İstanbul'un işgal edilerek Latin İmparatorluğu'nun kurulması	Anadolu'nun Türkleşmesinin sona ermesi	Moğolların Avrupa'ya ilerlemesi	Osmanlı Devleti'nin kurulması	b	IV. Haçlı Seferi'nde Haçlılar hedeflerinden saparak İstanbul'u işgal etmiş ve Latin İmparatorluğu'nu kurmuştur.	orta
Tarih	Moğol İstilası ve Anadolu	Yassıçemen, Baba İshak ve Kösedağ Savaşı	1230 Yassıçemen Savaşı'nın Türkiye Selçuklu Devleti açısından en önemli sonucu aşağıdakilerden hangisidir?	Anadolu Türk siyasi birliğinin sağlanması	Harzemşahların yıkılmasıyla Moğollarla komşu olunması	Haçlı Seferlerinin başlaması	Bizans'ın Anadolu'dan tamamen çıkarılması	Osmanlı Beyliği'nin kurulması	b	Yassıçemen Savaşı sonunda Harzemşahlar yıkılmış, Türkiye Selçuklu Devleti Moğollarla komşu olmuştur.	orta
Tarih	Moğol İstilası ve Anadolu	Yassıçemen, Baba İshak ve Kösedağ Savaşı	1243 Kösedağ Savaşı'nın Anadolu'daki en önemli sonucu aşağıdakilerden hangisidir?	Türkiye Selçuklu Devleti'nin Bizans'a bağlanması	Anadolu'da Haçlı egemenliğinin başlaması	Türkiye Selçuklu Devleti'nin Moğol egemenliğine girmesi	Anadolu'da Türk beyliklerinin tamamen ortadan kalkması	İstanbul'un Osmanlılar tarafından fethedilmesi	c	Kösedağ Savaşı'nda Moğollara yenilen Türkiye Selçuklu Devleti, Moğol egemenliği altına girmiştir.	kolay
Tarih	Moğol İstilası ve Anadolu	Yassıçemen, Baba İshak ve Kösedağ Savaşı	Baba İshak İsyanı'nın Türkiye Selçuklu Devleti üzerinde aşağıdaki etkilerden hangisine yol açtığı söylenebilir?	Devletin içten zayıflamasına	Anadolu'da siyasi birliğin güçlenmesine	Moğol tehlikesinin tamamen ortadan kalkmasına	Haçlı Seferlerinin sona ermesine	Denizcilik faaliyetlerinin artmasına	a	Baba İshak İsyanı, devlet otoritesini zayıflatmış ve Kösedağ öncesinde Türkiye Selçuklu Devleti'ni içten sarsmıştır.	orta
Tarih	Osmanlı Beyliği'nin Kuruluşu	Osman ve Orhan Gazi Dönemi	Osmanlı Beyliği'nin siyasi ve kurumsal olarak devletleşmesinin başlangıcı kabul edilen gelişme aşağıdakilerden hangisidir?	Bursa'nın fethedilmesi	Koyunhisar Savaşı'nın kazanılması	İznik'in alınması	Çimpe Kalesi'nin elde edilmesi	Ankara Savaşı'nın yapılması	b	1302 Koyunhisar Zaferi, Osmanlı hanedanının siyasi ve kurumsal olarak devletleşmesinin başlangıcı kabul edilir.	orta
Tarih	Osmanlı Beyliği'nin Kuruluşu	Osman ve Orhan Gazi Dönemi	Orhan Gazi döneminde Bursa'nın fethedilmesinin Osmanlı Devleti açısından en önemli sonucu aşağıdakilerden hangisidir?	İlk donanmanın kurulması	Devlet merkezinin Bursa'ya taşınması	Rumeli'ye geçilmesi	İstanbul'un kuşatılması	Anadolu Türk birliğinin sağlanması	b	Bursa 1326'da fethedildikten sonra Osmanlı Devleti'nin merkezi hâline gelmiştir.	kolay
Tarih	Osmanlı Beyliği'nin Kuruluşu	Osman ve Orhan Gazi Dönemi	1329 Maltepe (Palekanon) Savaşı'nın Osmanlı Devleti'ne sağladığı kazanım aşağıdakilerden hangisidir?	Kocaeli çevresinde hâkimiyet kurması	Halifeliği alması	Balkanlara yerleşmesi	İstanbul'u fethetmesi	Anadolu beyliklerini tamamen ortadan kaldırması	a	Maltepe Savaşı'ndan sonra Osmanlı Devleti Kocaeli bölgesinde hâkimiyet kurmuş, Bizans'ın Anadolu ile kara bağlantısı zayıflamıştır.	orta
Tarih	Osmanlı Devleti'nin Rumeli'de İskânı	Rumeli'ye Geçiş ve Çimpe Kalesi	Osmanlı Devleti'nin Rumeli'de elde ettiği ilk toprak parçası aşağıdakilerden hangisidir?	Gelibolu	Edirne	Çimpe Kalesi	Selanik	Sofya	c	1353'te elde edilen Çimpe Kalesi, Osmanlı Devleti'nin Rumeli'deki ilk toprağıdır.	kolay
Tarih	Osmanlı Devleti'nin Rumeli'de İskânı	Rumeli'ye Geçiş ve Çimpe Kalesi	Osmanlı Devleti'nin Çimpe Kalesi'ni elde etmesinde aşağıdakilerden hangisi etkili olmuştur?	Haçlılarla yapılan savaş	Bizans'taki taht mücadelesinde Kantakuzen'e yardım edilmesi	Karesioğulları'nın yeniden kurulması	Ankara Savaşı'nın kazanılması	İstanbul'un fethedilmesi	b	Orhan Bey, Bizans'taki taht mücadelesinde Kantakuzen'e yardım etmiş; karşılığında Çimpe Kalesi Osmanlılara verilmiştir.	orta
Tarih	Osmanlı Devleti'nin Rumeli'de İskânı	İskân ve İstimâlet Politikası	Osmanlı Devleti'nin fethedilen Rumeli topraklarına Türkmen nüfus yerleştirmesi aşağıdaki politikalardan hangisidir?	İltizam	İskân	Devşirme	Müsadere	Millet	b	İskân politikası, fethedilen bölgelere Türkmen nüfus yerleştirerek kalıcı egemenlik kurmayı amaçlar.	kolay
Tarih	Osmanlı Devleti'nin Rumeli'de İskânı	İskân ve İstimâlet Politikası	Osmanlı Devleti'nin gayrimüslim halka din ve yaşam özgürlüğü tanıyarak yönetimine uyum sağlamaya çalışması aşağıdaki kavramlardan hangisiyle açıklanır?	Tımar	İstimâlet	Devşirme	Dirlik	İltizam	b	İstimâlet politikası, hoşgörü ve gönül alma yoluyla fethedilen bölgelerde halkın Osmanlı yönetimine bağlılığını artırmayı amaçlamıştır.	orta
Tarih	Anadolu'da Türk Siyasi Birliğini Sağlama	Osmanlı'nın Beylikleri Katma Politikası	Osmanlı Devleti'ne katılan ilk Anadolu Türk beyliği aşağıdakilerden hangisidir?	Germiyanoğulları	Karesioğulları	Karamanoğulları	Aydınoğulları	Candaroğulları	b	Karesioğulları, Osmanlı Devleti'ne katılan ilk Anadolu Türk beyliğidir.	kolay
Tarih	Anadolu'da Türk Siyasi Birliğini Sağlama	Osmanlı'nın Beylikleri Katma Politikası	Karesioğulları'nın Osmanlı Devleti'ne katılmasının Rumeli fetihlerine katkısı aşağıdakilerden hangisidir?	Osmanlı'nın ilk donanmaya sahip olması	Halifeliğin Osmanlılara geçmesi	Yeniçeri Ocağı'nın kurulması	İstanbul'un fethedilmesi	Anadolu'nun kesin Türk yurdu olması	a	Karesioğulları'nın denizcilik gücü Osmanlılara geçtiği için Osmanlı Devleti ilk donanmasına sahip olmuş ve Rumeli fetihleri kolaylaşmıştır.	orta
Tarih	Anadolu'da Türk Siyasi Birliğini Sağlama	Osmanlı'nın Beylikleri Katma Politikası	Osmanlı Devleti'nin Anadolu Türk siyasi birliğini sağlamak için kullandığı yöntemlerden biri değildir?	Evlilik	Satın alma	Diplomasi	Savaş	Sömürgecilik	e	Osmanlı Devleti Anadolu Türk siyasi birliğini evlilik, satın alma, savaş ve diplomasi yoluyla sağlamaya çalışmıştır; sömürgecilik uygulamamıştır.	orta
Tarih	Anadolu'da Türk Siyasi Birliğini Sağlama	Ankara Savaşı ve Fetret Devri	1402 Ankara Savaşı aşağıdaki devletlerden hangileri arasında yapılmıştır?	Osmanlı Devleti - Bizans Devleti	Osmanlı Devleti - Timur Devleti	Osmanlı Devleti - Memlük Devleti	Osmanlı Devleti - Safevi Devleti	Osmanlı Devleti - Karakoyunlu Devleti	b	Ankara Savaşı, Yıldırım Bayezid ile Timur arasında gerçekleşmiştir.	kolay
Tarih	Anadolu'da Türk Siyasi Birliğini Sağlama	Ankara Savaşı ve Fetret Devri	Ankara Savaşı'nın ardından yaklaşık on bir yıl süren taht mücadeleleri dönemi aşağıdakilerden hangisidir?	Lale Devri	Tanzimat Dönemi	Fetret Devri	Meşrutiyet Dönemi	Celâli İsyanları	c	1402-1413 yılları arasında yaşanan taht mücadeleleri Fetret Devri olarak adlandırılır.	kolay
Tarih	Anadolu'da Türk Siyasi Birliğini Sağlama	Ankara Savaşı ve Fetret Devri	Fetret Devri'ne son vererek Osmanlı Devleti'nde merkezî otoriteyi yeniden sağlayan hükümdar aşağıdakilerden hangisidir?	I. Murat	Yıldırım Bayezid	Çelebi Mehmet	II. Murat	Fatih Sultan Mehmet	c	Çelebi Mehmet, Fetret Devri'ne son verdiği ve devleti toparladığı için Osmanlı Devleti'nin ikinci kurucusu kabul edilir.	orta
Tarih	Savaşçılar ve Askerler	Tımar Sistemi ve Tımarlı Sipahiler	Tımar sisteminde toprağın mülkiyeti genel olarak kime aittir?	Tımarlı sipahiye	Köylüye	Devlete	Esnafa	Vakıflara	c	Tımar sisteminde tarım arazilerinin mülkiyeti devlete aittir; sipahilere ise hizmet karşılığı vergi toplama yetkisi verilir.	kolay
Tarih	Savaşçılar ve Askerler	Tımar Sistemi ve Tımarlı Sipahiler	Aşağıdakilerden hangisi tımarlı sipahilerin görevlerinden biri değildir?	Taşrada güvenliği sağlamak	Sefer zamanında orduya katılmak	Cebelü yetiştirmek	Vergilerin tahsil edilmesini sağlamak	Divan-ı Hümayun'a başkanlık etmek	e	Divan-ı Hümayun'a sadrazam başkanlık ederdi. Tımarlı sipahiler taşrada görev yapar, cebelü yetiştirir ve seferlerde orduya katılırdı.	orta
Tarih	Savaşçılar ve Askerler	Tımar Sistemi ve Tımarlı Sipahiler	Tımar sisteminin Osmanlı Devleti'ne sağladığı en önemli yararlardan biri aşağıdakilerden hangisidir?	Hazineye yük olmadan asker yetiştirmek	Deniz ticaretini geliştirmek	Medrese sayısını artırmak	Kapitülasyonları kaldırmak	Avrupa'da sömürge kurmak	a	Tımar sistemi sayesinde Osmanlı Devleti, merkez hazinesinden doğrudan harcama yapmadan eyalet askerleri yetiştirmiştir.	orta
Tarih	Savaşçılar ve Askerler	Kapıkulu Ocakları ve Devşirme	Osmanlı Devleti'nin maaşlı ve sürekli merkez ordusunu oluşturan askerî teşkilat aşağıdakilerden hangisidir?	Tımarlı Sipahiler	Akıncılar	Kapıkulu Ocakları	Azaplar	Yaya ve Müsellemler	c	Kapıkulu Ocakları, Osmanlı Devleti'nin maaşlı ve sürekli merkez ordusudur.	kolay
Tarih	Savaşçılar ve Askerler	Kapıkulu Ocakları ve Devşirme	Yeniçerilerin üç ayda bir aldığı maaşa ne ad verilir?	Cülus	Ulufe	Cizye	Haraç	Avarız	b	Kapıkulu askerlerine ve yeniçerilere üç ayda bir ulufe adı verilen maaş ödenirdi.	kolay
Tarih	Savaşçılar ve Askerler	Kapıkulu Ocakları ve Devşirme	Pençik sisteminde savaş esirlerinin ne kadarı devlet hizmetine alınırdı?	Onda biri	Beşte biri	Dörtte biri	Yarısı	Üçte biri	b	Pençik, beşte bir anlamına gelir; savaş esirlerinin beşte biri devlet hizmeti için ayrılırdı.	orta
Tarih	Sosyal ve Kültürel Faaliyetler	Osmanlı'da Yönetici Sınıflar (Askerî)	Osmanlı Devleti'nde yöneten ve vergiden muaf olan sınıfa ne ad verilirdi?	Reaya	Askerî	Ayan	Lonca	Vakıf	b	Osmanlı toplumunda yöneten ve vergiden muaf kesim askerî, vergi veren halk ise reaya olarak adlandırılırdı.	kolay
Tarih	Sosyal ve Kültürel Faaliyetler	Osmanlı'da Yönetici Sınıflar (Askerî)	Aşağıdakilerden hangisi Osmanlı yönetici sınıflarından ilmiye grubunda yer alır?	Defterdar	Nişancı	Kazasker	Kaptan-ı derya	Subaşı	c	Kazasker; eğitim, hukuk ve adalet işleriyle ilgilenen ilmiye sınıfında yer alırdı.	orta
Tarih	Sosyal ve Kültürel Faaliyetler	Osmanlı'da Yönetici Sınıflar (Askerî)	Osmanlı Devleti'nde maliye ve yazışma işlerinden sorumlu yönetici sınıf aşağıdakilerden hangisidir?	Seyfiye	İlmiye	Kalemiye	Reaya	Lonca	c	Kalemiye sınıfı, devletin maliye ve yazışma işlerini yürütürdü.	kolay
Tarih	Sosyal ve Kültürel Faaliyetler	Mutasavvıflar ve Bilim İnsanları	Ahilik teşkilatını kurarak esnaf arasında dayanışma ve meslek ahlakını geliştiren kişi aşağıdakilerden hangisidir?	Ahi Evran	Akşemseddin	Ali Kuşçu	Hacı Bayram Veli	Nizamülmülk	a	Ahi Evran, Ahilik teşkilatının kurucusu kabul edilir.	kolay
Tarih	Sosyal ve Kültürel Faaliyetler	Mutasavvıflar ve Bilim İnsanları	Hastalıkların gözle görülmeyen canlılar yoluyla bulaşabileceğini belirten fikirleriyle tanınan bilim insanı aşağıdakilerden hangisidir?	Ali Kuşçu	Akşemseddin	İbn Sina	Farabi	Piri Reis	b	Akşemseddin, hastalıkların mikroplar yoluyla bulaşabileceğine ilişkin fikirleriyle tanınır.	orta
Tarih	Sosyal ve Kültürel Faaliyetler	Mutasavvıflar ve Bilim İnsanları	Astronomi ve matematik alanındaki çalışmalarıyla tanınan Türk-İslam bilim insanı aşağıdakilerden hangisidir?	Ali Kuşçu	Ahi Evran	Akşemseddin	Şeyh Edebali	Hacı Bektaş Veli	a	Ali Kuşçu astronomi ve matematik alanında önemli çalışmalar yapmıştır.	kolay
Tarih	İstanbul'un Fethi ve Sonuçları	Fethin Nedenleri ve Hazırlıklar	Fatih Sultan Mehmet'in İstanbul'un fethi öncesinde Rumeli Hisarı'nı yaptırmasının temel amacı aşağıdakilerden hangisidir?	Anadolu Türk birliğini sağlamak	Boğazdan gelebilecek yardımları denetlemek	Haçlı Seferlerini başlatmak	Balkanlarda iskân yapmak	Memlük Devleti'ni yıkmak	b	Rumeli Hisarı, Bizans'a Karadeniz üzerinden gelebilecek yardımları engellemek ve Boğazı denetlemek için yaptırılmıştır.	orta
Tarih	İstanbul'un Fethi ve Sonuçları	Fethin Nedenleri ve Hazırlıklar	Aşağıdakilerden hangisi İstanbul'un fethi için yapılan hazırlıklardan biri değildir?	Şahi toplarının döktürülmesi	Güçlü donanma hazırlanması	Rumeli Hisarı'nın yapılması	Anadolu Hisarı'nın yıkılması	Gemilerin karadan yürütülmesi	d	Anadolu Hisarı yıkılmamış, Boğaz denetimini güçlendirmek için Rumeli Hisarı yaptırılmıştır.	orta
Tarih	İstanbul'un Fethi ve Sonuçları	Fethin Dünya Tarihine Etkisi	İstanbul'un fethiyle yıkılan devlet aşağıdakilerden hangisidir?	Doğu Roma (Bizans) Devleti	Latin İmparatorluğu	Kutsal Roma Germen İmparatorluğu	Memlük Devleti	Trabzon Rum Devleti	a	1453 İstanbul'un Fethi ile Doğu Roma yani Bizans Devleti sona ermiştir.	kolay
Tarih	İstanbul'un Fethi ve Sonuçları	Fethin Dünya Tarihine Etkisi	İstanbul'un fethinin Avrupa'da derebeylik sisteminin zayıflamasına katkı sağlamasının temel nedeni aşağıdakilerden hangisidir?	Bizans'ın güçlenmesi	Topların surları yıkabileceğinin anlaşılması	İpek Yolu'nun kapanması	Haçlı Seferlerinin bitmesi	Reform hareketlerinin başlaması	b	Büyük topların surları yıkabileceğinin anlaşılması, şatolara dayalı derebeylik düzenini zayıflatmıştır.	orta
Tarih	İstanbul'un Fethi ve Sonuçları	Fethin Dünya Tarihine Etkisi	İstanbul'un fethinden sonra bazı Bizanslı bilim insanlarının İtalya'ya gitmesi hangi gelişmeyi hızlandırmıştır?	Reform	Rönesans	Sanayi İnkılabı	Fransız İhtilali	Coğrafi Keşifler	b	Bizanslı bilim insanlarının İtalya'ya gitmesi, Antik Yunan-Roma kültürünün yeniden canlanmasına ve Rönesans'ın hızlanmasına katkı sağlamıştır.	orta
Tarih	İslam Dünyasında Birliği Sağlama	Safevi ve Memluk Mücadelesi (Yavuz Dönemi)	Yavuz Sultan Selim'in Safevilerle yaptığı ve Safevi tehlikesini büyük ölçüde azalttığı savaş aşağıdakilerden hangisidir?	Mohaç	Çaldıran	Mercidabık	Ridaniye	Otlukbeli	b	1514 Çaldıran Savaşı ile Safevi tehlikesi büyük ölçüde azaltılmıştır.	kolay
Tarih	İslam Dünyasında Birliği Sağlama	Safevi ve Memluk Mücadelesi (Yavuz Dönemi)	Memlük Devleti'nin yıkılmasını sağlayan savaş aşağıdakilerden hangisidir?	Çaldıran	Ridaniye	Mohacs	Varna	Nikopolis	b	1517 Ridaniye Savaşı sonrasında Memlük Devleti yıkılmıştır.	kolay
Tarih	İslam Dünyasında Birliği Sağlama	Safevi ve Memluk Mücadelesi (Yavuz Dönemi)	Yavuz Sultan Selim döneminde aşağıdakilerden hangisinin Osmanlı topraklarına katılmasıyla Osmanlı Devleti İslam dünyasında daha güçlü bir konuma ulaşmıştır?	Kırım ve Kafkasya	Suriye, Mısır ve Hicaz	Mora ve Girit	Macaristan ve Avusturya	İran ve Irak	b	Memlüklerin yıkılmasıyla Suriye, Mısır ve Hicaz Osmanlı topraklarına katılmış; Osmanlı'nın İslam dünyasındaki etkisi artmıştır.	orta
Tarih	Dünyanın Muhteşem Gücü Osmanlı	Kanuni Sultan Süleyman Dönemi	Kanuni Sultan Süleyman döneminde Macaristan Krallığı'nın büyük ölçüde Osmanlı hâkimiyetine girmesini sağlayan savaş aşağıdakilerden hangisidir?	Mohaç	Mercidabık	Çaldıran	Varna	II. Kosova	a	1526 Mohaç Meydan Muharebesi'nden sonra Macaristan Krallığı büyük ölçüde Osmanlı hâkimiyetine girmiştir.	kolay
Tarih	Dünyanın Muhteşem Gücü Osmanlı	Kanuni Sultan Süleyman Dönemi	1533 İstanbul Antlaşması'nın Osmanlı Devleti açısından önemi aşağıdakilerden hangisidir?	Rusya'nın Karadeniz'e inmesini engellemesi	Avusturya'nın Osmanlı siyasi üstünlüğünü kabul etmesi	Fransa'ya kapitülasyon verilmesi	Memlük Devleti'nin yıkılması	İran ile sınır sorununun çözülmesi	b	1533 İstanbul Antlaşması ile Avusturya arşidükü Osmanlı sadrazamına denk sayılmış, Osmanlı'nın siyasi üstünlüğü kabul edilmiştir.	orta
Tarih	Dünyanın Muhteşem Gücü Osmanlı	Kanuni Sultan Süleyman Dönemi	Kanuni Sultan Süleyman'ın çıktığı son sefer aşağıdakilerden hangisidir?	Belgrad Seferi	Rodos Seferi	Zigetvar Seferi	Mohaç Seferi	İran Seferi	c	Kanuni Sultan Süleyman'ın son seferi Zigetvar Seferi'dir.	kolay
Tarih	Stratejik Siyaset ve Dünya Gücü	Kapitülasyonlar	Kanuni Sultan Süleyman'ın Fransa'ya kapitülasyon vermesindeki temel amaç aşağıdakilerden hangisidir?	Osmanlı ekonomisini zayıflatmak	Avrupa'daki Habsburg baskısını dengelemek	İran ile ittifak kurmak	Yeniçeri Ocağını güçlendirmek	Memlük Devleti'ni desteklemek	b	Kanuni, Fransa'ya kapitülasyon vererek Habsburglara karşı Avrupa'daki siyasi dengeyi Osmanlı lehine çevirmeyi amaçlamıştır.	orta
Tarih	Stratejik Siyaset ve Dünya Gücü	Kapitülasyonlar	Kapitülasyonların sürekli hâle gelmesi aşağıdaki yıllardan hangisinde gerçekleşmiştir?	1533	1606	1699	1740	1774	d	Fransa'ya verilen kapitülasyonlar 1740 yılında sürekli hâle getirilmiştir.	kolay
Tarih	Stratejik Siyaset ve Dünya Gücü	Kapitülasyonlar	Kapitülasyonların Osmanlı Devleti üzerindeki uzun vadeli etkisi aşağıdakilerden hangisidir?	Merkezî otoritenin güçlenmesi	Yerli üreticinin Avrupa mallarıyla rekabetinin zorlaşması	Tımar sisteminin yaygınlaşması	Avrupa'daki toprakların genişlemesi	Devşirme sisteminin kaldırılması	b	Kapitülasyonlar zamanla yabancıların ekonomik üstünlük kazanmasına ve Osmanlı ekonomisinin olumsuz etkilenmesine yol açmıştır.	orta
Tarih	Stratejik Siyaset ve Dünya Gücü	Hint Deniz Seferleri	Osmanlı Devleti'nin Hint Deniz Seferleri düzenlemesinin temel amacı aşağıdakilerden hangisidir?	Bizans'ı yeniden kurmak	Baharat Yolu'nu canlandırıp Portekiz üstünlüğünü kırmak	Akdeniz'deki Venedik gücünü bitirmek	Rusya'nın güneye inmesini engellemek	Anadolu Türk birliğini sağlamak	b	Osmanlı Devleti, Portekiz'in Hint Okyanusu ve Baharat Yolu üzerindeki etkisini kırmak için Hint Deniz Seferleri düzenlemiştir.	kolay
Tarih	Stratejik Siyaset ve Dünya Gücü	Hint Deniz Seferleri	Hint Deniz Seferlerinde kesin başarı sağlanamamasında aşağıdakilerden hangisinin etkili olduğu söylenemez?	Osmanlı gemilerinin açık deniz şartlarına yeterince uygun olmaması	Bölge halkından yeterli destek alınamaması	Portekiz donanmasının güçlü olması	Osmanlı'nın güçlü okyanus filosuna sahip olması	Sefer alanının merkeze uzak olması	d	Osmanlı'nın güçlü bir okyanus filosu yoktu; bu nedenle açık deniz şartları ve teknik yetersizlikler seferleri zorlaştırmıştır.	orta
Tarih	Stratejik Siyaset ve Dünya Gücü	Hint Deniz Seferleri	Hint Deniz Seferleri sonucunda Osmanlı Devleti'nin güvenliğini güçlendirdiği deniz alanları aşağıdakilerden hangisidir?	Karadeniz ve Ege Denizi	Kızıldeniz ve Basra Körfezi	Atlas Okyanusu ve Akdeniz	Hazar Denizi ve Aral Gölü	Manş Denizi ve Baltık Denizi	b	Seferler kesin başarıya ulaşmasa da Kızıldeniz ve Basra Körfezi'nin güvenliği güçlendirilmiştir.	orta
Tarih	Saray ve Şehir Kültürü	Saray Teşkilatı	Osmanlı sarayında devşirme kökenli öğrencilerin eğitim görerek devlet adamı olarak yetiştirildiği bölüm aşağıdakilerden hangisidir?	Birun	Enderun	Harem	Divan-ı Hümayun	Şehzadegan Dairesi	b	Enderun, Osmanlı Devleti'nde üst düzey devlet adamı yetiştiren saray eğitim kurumudur.	kolay
Tarih	Saray ve Şehir Kültürü	Saray Teşkilatı	Padişahın ailesiyle birlikte yaşadığı özel saray bölümü aşağıdakilerden hangisidir?	Birun	Enderun	Harem	Divanhane	Bâbıâli	c	Harem, padişahın ve ailesinin yaşadığı özel bölümdür.	kolay
Tarih	Saray ve Şehir Kültürü	Saray Teşkilatı	Aşağıdakilerden hangisi Osmanlı sarayının ana bölümlerinden biri değildir?	Birun	Enderun	Harem	Nizamiye	—	d	Osmanlı sarayı Birun, Enderun ve Harem olmak üzere üç ana bölümden oluşurdu. Nizamiye ise Büyük Selçuklu Devleti dönemindeki medrese sistemidir.	orta
Tarih	Saray ve Şehir Kültürü	Divan-ı Hümayun	Fatih Sultan Mehmet döneminden itibaren Divan-ı Hümayun'a kim başkanlık etmeye başlamıştır?	Padişah	Kazasker	Nişancı	Sadrazam	Defterdar	d	Fatih Sultan Mehmet'ten itibaren Divan-ı Hümayun'a sadrazam başkanlık etmeye başlamıştır.	kolay
Tarih	Saray ve Şehir Kültürü	Divan-ı Hümayun	Divan-ı Hümayun'da devletin mali işlerinden sorumlu görevli aşağıdakilerden hangisidir?	Nişancı	Kazasker	Defterdar	Reisülküttap	Kaptan-ı derya	c	Defterdar, Osmanlı Devleti'nde maliye işlerinden sorumluydu.	kolay
Tarih	Saray ve Şehir Kültürü	Divan-ı Hümayun	Divan-ı Hümayun'da devlet yazışmaları ve tapu işlerinden sorumlu görevli aşağıdakilerden hangisidir?	Nişancı	Kazasker	Defterdar	Sadrazam	Şeyhülislam	a	Nişancı, devlet yazışmalarını yürütür ve tapu-tahrir işlerinden sorumlu olurdu.	orta
